date,sales,forecast
24-04-2023,1017,1000.85
25-04-2023,890,900.61
26-04-2023,720,734.33
27-04-2023,580,578.64
28-04-2023,709,709.11
29-04-2023,649,661.02
30-04-2023,937,896.23
01-05-2023,1033,1018.09
02-05-2023,835,831.38
03-05-2023,801,798.42
04-05-2023,557,584.74
05-05-2023,590,568.24
06-05-2023,838,817.3
07-05-2023,927,909.58
08-05-2023,1017,983.23
09-05-2023,833,871.31
10-05-2023,975,946.29
11-05-2023,690,689.86
12-05-2023,740,745.86
13-05-2023,922,890.83
14-05-2023,892,926.88
15-05-2023,820,813.66
16-05-2023,852,826.83
17-05-2023,652,657.33
18-05-2023,463,474.19
19-05-2023,740,714.86
20-05-2023,725,728.52
21-05-2023,922,917.57
22-05-2023,932,932.32
23-05-2023,883,847.02
24-05-2023,838,845.11
25-05-2023,606,633.01
26-05-2023,870,833.94
27-05-2023,851,856.25
28-05-2023,951,923.3
29-05-2023,808,814.03
30-05-2023,961,972.97
31-05-2023,652,653.45
01-06-2023,637,639.7
02-06-2023,646,634.91
03-06-2023,721,721.76
04-06-2023,870,871.81
05-06-2023,877,886.47
06-06-2023,878,846.76
07-06-2023,718,730.19
08-06-2023,702,694.3
09-06-2023,680,678.08
10-06-2023,744,749.81
11-06-2023,976,970.89
12-06-2023,982,982.47
13-06-2023,830,867.84
14-06-2023,587,583.74
15-06-2023,633,636.04
16-06-2023,756,740.67
17-06-2023,681,698.61
18-06-2023,942,935.94
19-06-2023,976,968.79
20-06-2023,864,900.57
21-06-2023,797,770.03
22-06-2023,712,708.96
23-06-2023,797,821.02
24-06-2023,726,727.7
25-06-2023,1068,1022.97
26-06-2023,986,974.9
27-06-2023,1054,1041.08
28-06-2023,633,642.82
29-06-2023,839,832.44
30-06-2023,570,607.65
01-07-2023,829,800.61
02-07-2023,819,818.71
03-07-2023,993,975.43
04-07-2023,851,870.76
05-07-2023,733,760.37
06-07-2023,751,730.32
07-07-2023,677,708.81
08-07-2023,932,907.07
09-07-2023,953,944.19
10-07-2023,1012,998.65
11-07-2023,895,890.28
12-07-2023,973,948.15
13-07-2023,727,764.62
14-07-2023,667,651.11
15-07-2023,700,712.37
16-07-2023,730,734.07
17-07-2023,957,944
18-07-2023,919,875.23
19-07-2023,750,777.98
20-07-2023,824,825.43
21-07-2023,789,784.61
22-07-2023,847,838.43
23-07-2023,925,923
24-07-2023,1020,1024.71
25-07-2023,842,837.32
26-07-2023,706,701.72
27-07-2023,698,716.79
28-07-2023,789,755.09
29-07-2023,989,975.37
30-07-2023,1161,1131.68
31-07-2023,936,937.51
01-08-2023,963,954.72
02-08-2023,903,910.74
03-08-2023,736,736.12
04-08-2023,931,913.65
05-08-2023,887,906.68
06-08-2023,879,858.62
07-08-2023,1009,1003.58
08-08-2023,900,924.4
09-08-2023,872,861.98
10-08-2023,745,744.4
11-08-2023,655,690.52
12-08-2023,823,799.23
13-08-2023,898,898.93
14-08-2023,1067,1032.54
15-08-2023,848,883.69
16-08-2023,664,641.76
17-08-2023,818,831.8
18-08-2023,701,715.33
19-08-2023,839,837.32
20-08-2023,929,914.22
21-08-2023,900,897.22
22-08-2023,797,809.06
23-08-2023,652,664.23
24-08-2023,660,639.67
25-08-2023,850,844.89
26-08-2023,733,777.26
27-08-2023,1000,953.4
28-08-2023,1024,1033.73
29-08-2023,761,769.36
30-08-2023,791,787.69
31-08-2023,568,590.26
01-09-2023,867,843.31
02-09-2023,734,768.88
03-09-2023,1000,977.62
04-09-2023,982,969.27
05-09-2023,924,923.95
06-09-2023,792,811.49
07-09-2023,880,848.26
08-09-2023,663,688.09
09-09-2023,879,870.77
10-09-2023,970,985.1
11-09-2023,994,992.66
12-09-2023,910,934.96
13-09-2023,811,794.57
14-09-2023,742,730.54
15-09-2023,839,835.33
16-09-2023,944,947.62
17-09-2023,931,922.9
18-09-2023,978,978.39
19-09-2023,1030,1026.57
20-09-2023,874,873.1
21-09-2023,659,672.6
22-09-2023,1009,969.16
23-09-2023,821,852.72
24-09-2023,964,947.67
25-09-2023,1055,1037.07
26-09-2023,1061,1054.79
27-09-2023,768,774.44
28-09-2023,836,818.67
29-09-2023,749,761.67
30-09-2023,840,837.15
01-10-2023,952,937.25
02-10-2023,1055,1058.94
03-10-2023,1013,1028.38
04-10-2023,827,834.6
05-10-2023,837,831.96
06-10-2023,639,669.33
07-10-2023,832,805.4
08-10-2023,980,972.25
09-10-2023,969,982.69
10-10-2023,893,863.91
11-10-2023,758,772.04
12-10-2023,762,759.78
13-10-2023,887,857.16
14-10-2023,941,961.34
15-10-2023,1017,1006.03
16-10-2023,1088,1084.06
17-10-2023,976,999.15
18-10-2023,742,747.51
19-10-2023,783,788.02
20-10-2023,798,820.6
21-10-2023,877,849.36
22-10-2023,891,932.49
23-10-2023,957,861.73
24-10-2023,889,913.19
25-10-2023,798,833.2
26-10-2023,766,802.23
27-10-2023,722,738.6
28-10-2023,744,760.75
29-10-2023,884,900.61
30-10-2023,944,898.87
31-10-2023,1084,1002.79
01-11-2023,749,798.38
02-11-2023,763,757.07
03-11-2023,863,836.25
04-11-2023,826,803.72
05-11-2023,965,891.37
06-11-2023,1010,1094.32
07-11-2023,901,838.7
08-11-2023,1020,978.12
09-11-2023,764,817.02
10-11-2023,820,772.23
11-11-2023,890,901.21
12-11-2023,992,1012.44
13-11-2023,923,908.79
14-11-2023,1044,1092.43
15-11-2023,738,708.3
16-11-2023,829,786.27
17-11-2023,675,639.11
18-11-2023,854,827.54
19-11-2023,1087,1064.52
20-11-2023,963,985.18
21-11-2023,969,924.23
22-11-2023,923,901.72
23-11-2023,732,786.43
24-11-2023,789,767.85
25-11-2023,906,915.64
26-11-2023,941,984.31
27-11-2023,903,857.36
28-11-2023,909,821.57
29-11-2023,942,921.45
30-11-2023,847,861.19
01-12-2023,862,876.73
02-12-2023,913,858.81
03-12-2023,995,1019.28
04-12-2023,1121,1087.77
05-12-2023,942,887.94
06-12-2023,740,743.2
07-12-2023,809,788.39
08-12-2023,917,880.33
09-12-2023,877,922.58
10-12-2023,1004,1035.66
11-12-2023,987,926.45
12-12-2023,884,899.66
13-12-2023,887,851.71
14-12-2023,853,829.73
15-12-2023,758,781.19
16-12-2023,854,851.38
17-12-2023,992,916.04
18-12-2023,1095,1072.54
19-12-2023,907,970.19
20-12-2023,836,804.18
21-12-2023,807,818.54
22-12-2023,842,866.01
23-12-2023,958,895.26
24-12-2023,1051,1053.86
25-12-2023,955,989.77
26-12-2023,915,916.51
27-12-2023,899,881.76
28-12-2023,912,843.95
29-12-2023,912,921.87
30-12-2023,957,963.96
31-12-2023,1050,1023.78
